asof_date,rooms
2023-01-01,8393
2023-01-02,8315
2023-01-03,8283
2023-01-04,8397
2023-01-05,8533
2023-01-06,8871
2023-01-07,8995
2023-01-08,8952
2023-01-09,9006
2023-01-10,9053
2023-01-11,9039
2023-01-12,9078
2023-01-13,9099
2023-01-14,9175
2023-01-15,9119
2023-01-16,9067
2023-01-17,9085
2023-01-18,9073
2023-01-19,9185
2023-01-20,9309
2023-01-21,9327
2023-01-22,9324
2023-01-23,9327
2023-01-24,9416
2023-01-25,9521
2023-01-26,9578
2023-01-27,9692
2023-01-28,9692
2023-01-29,9673
2023-01-30,9620
2023-01-31,9786
2023-02-01,9882
2023-02-02,10043
2023-02-03,10100
2023-02-04,10110
2023-02-05,10145
2023-02-06,10127
2023-02-07,10275
2023-02-08,10319
2023-02-09,10408
2023-02-10,10392
2023-02-11,10487
2023-02-12,10453
2023-02-13,10404
2023-02-14,10565
2023-02-15,10716
2023-02-16,10787
2023-02-17,10823
2023-02-18,10850
2023-02-19,10786
2023-02-20,10707
2023-02-21,10708
2023-02-22,10742
2023-02-23,10749
2023-02-24,10739
2023-02-25,10804
2023-02-26,10693
2023-02-27,10601
2023-02-28,10619
2023-03-01,10609
2023-03-02,10637
2023-03-03,10706
2023-03-04,10850
2023-03-05,10762
2023-03-06,10680
2023-03-07,10800
2023-03-08,10742
2023-03-09,10743
2023-03-10,10765
2023-03-11,10710
2023-03-12,10598
2023-03-13,10507
2023-03-14,10650
2023-03-15,10595
2023-03-16,10561
2023-03-17,10540
2023-03-18,10471
2023-03-19,10381
2023-03-20,10263
2023-03-21,10280
2023-03-22,10239
2023-03-23,10224
2023-03-24,10412
2023-03-25,10350
2023-03-26,10258
2023-03-27,10131
2023-03-28,10146
2023-03-29,10086
2023-03-30,10056
2023-03-31,9968
2023-04-01,9960
2023-04-02,9825
2023-04-03,9678
2023-04-04,9825
2023-04-05,9697
2023-04-06,9697
2023-04-07,9653
2023-04-08,9639
2023-04-09,9510
2023-04-10,9404
2023-04-11,9442
2023-04-12,9449
2023-04-13,9492
2023-04-14,9490
2023-04-15,9516
2023-04-16,9389
2023-04-17,9291
2023-04-18,9337
2023-04-19,9435
2023-04-20,9410
2023-04-21,9471
2023-04-22,9493
2023-04-23,9416
2023-04-24,9323
2023-04-25,9373
2023-04-26,9406
2023-04-27,9428
2023-04-28,9449
2023-04-29,9748
2023-04-30,9632
2023-05-01,9544
2023-05-02,9515
2023-05-03,9470
2023-05-04,9470
2023-05-05,9472
2023-05-06,9667
2023-05-07,9599
2023-05-08,9493
2023-05-09,9554
2023-05-10,9622
2023-05-11,9667
2023-05-12,9630
2023-05-13,9680
2023-05-14,9646
2023-05-15,9593
2023-05-16,9659
2023-05-17,9618
2023-05-18,9587
2023-05-19,9585
2023-05-20,9540
2023-05-21,9416
2023-05-22,9375
2023-05-23,9632
2023-05-24,9449
2023-05-25,9374
2023-05-26,9361
2023-05-27,9410
2023-05-28,9340
2023-05-29,9263
2023-05-30,9240
2023-05-31,9373
2023-06-01,9430
2023-06-02,9437
2023-06-03,9374
2023-06-04,9300
2023-06-05,9236
2023-06-06,9333
2023-06-07,9428
2023-06-08,9328
2023-06-09,9344
2023-06-10,9254
2023-06-11,9116
2023-06-12,9022
2023-06-13,9111
2023-06-14,9047
2023-06-15,8969
2023-06-16,9070
2023-06-17,9184
2023-06-18,9123
2023-06-19,9102
2023-06-20,9148
2023-06-21,9263
2023-06-22,9318
2023-06-23,9307
2023-06-24,9389
2023-06-25,9319
2023-06-26,9214
2023-06-27,9199
2023-06-28,9212
2023-06-29,9253
2023-06-30,9299
2023-07-01,9328
2023-07-02,9293
2023-07-03,9218
2023-07-04,9173
2023-07-05,9223
2023-07-06,9405
2023-07-07,9508
2023-07-08,9557
2023-07-09,9498
2023-07-10,9427
2023-07-11,9413
2023-07-12,9389
2023-07-13,9374
2023-07-14,9384
2023-07-15,9414
2023-07-16,9332
2023-07-17,9330
2023-07-18,9352
2023-07-19,9491
2023-07-20,9495
2023-07-21,9592
2023-07-22,9574
2023-07-23,9513
2023-07-24,9420
2023-07-25,9434
2023-07-26,9364
2023-07-27,9318
2023-07-28,9244
2023-07-29,9306
2023-07-30,9203
2023-07-31,9080
2023-08-01,9138
2023-08-02,9083
2023-08-03,8977
2023-08-04,9048
2023-08-05,9040
2023-08-06,9067
2023-08-07,9026
2023-08-08,9058
2023-08-09,9119
2023-08-10,9216
2023-08-11,9271
2023-08-12,9246
2023-08-13,9200
2023-08-14,9073
2023-08-15,9195
2023-08-16,9195
2023-08-17,9265
2023-08-18,9396
2023-08-19,9446
2023-08-20,9416
2023-08-21,9355
2023-08-22,9503
2023-08-23,9442
2023-08-24,9476
2023-08-25,9573
2023-08-26,9646
